Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W],VAV_4:DesPer 1:Des Heat Mass Flow [kg/s],VAV_4:DesPer 1:Des Heat Cap [W],VAV_4:DesPer 1:Des Cool Mass Flow [kg/s],VAV_4:DesPer 1:Des Sens Cool Cap [W],VAV_4:DesPer 1:Des Tot Cool Cap [W],VAV_4:DesPer 2:Des Heat Mass Flow [kg/s],VAV_4:DesPer 2:Des Heat Cap [W],VAV_4:DesPer 2:Des Cool Mass Flow [kg/s],VAV_4:DesPer 2:Des Sens Cool Cap [W],VAV_4:DesPer 2:Des Tot Cool Cap [W]
03:30:00,2.466931E-01,0.000000E+00,2.716460E+00,3.111786E+04,3.988665E+04,5.799500E-01,1.775561E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.629470E+00,1.860882E+04,2.459034E+04,6.762952E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.552993E+00,1.775486E+04,2.403776E+04,7.661684E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.004440E+00,2.281774E+04,2.969990E+04,7.785918E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
03:40:00,2.466931E-01,0.000000E+00,2.707451E+00,3.100423E+04,3.977012E+04,5.799184E-01,1.775741E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.619619E+00,1.849195E+04,2.446879E+04,6.762257E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.542205E+00,1.762753E+04,2.390406E+04,7.660763E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.992113E+00,2.267285E+04,2.954813E+04,7.785271E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
03:50:00,2.466931E-01,0.000000E+00,2.698534E+00,3.089161E+04,3.965460E+04,5.798873E-01,1.775919E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.609875E+00,1.837627E+04,2.434834E+04,6.761572E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.531533E+00,1.750149E+04,2.377152E+04,7.659856E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.979968E+00,2.252999E+04,2.939828E+04,7.784637E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
04:00:00,2.466931E-01,0.000000E+00,2.689708E+00,3.078001E+04,3.954008E+04,5.798567E-01,1.776095E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.600239E+00,1.826180E+04,2.422902E+04,6.760897E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.520977E+00,1.737675E+04,2.364019E+04,7.658964E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.967995E+00,2.238905E+04,2.925026E+04,7.784014E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
04:10:00,2.466931E-01,0.000000E+00,2.681052E+00,3.067467E+04,3.943201E+04,5.798264E-01,1.776268E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.590807E+00,1.815190E+04,2.411448E+04,6.760233E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.510642E+00,1.725677E+04,2.351385E+04,7.658084E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.956309E+00,2.225375E+04,2.910816E+04,7.783403E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
04:20:00,2.466931E-01,0.000000E+00,2.672559E+00,3.057114E+04,3.932581E+04,5.797965E-01,1.776439E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.581573E+00,1.804421E+04,2.400225E+04,6.759578E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.500521E+00,1.713919E+04,2.339003E+04,7.657219E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.944909E+00,2.212162E+04,2.896940E+04,7.782804E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
04:30:00,2.466931E-01,0.000000E+00,2.664230E+00,3.046945E+04,3.922149E+04,5.797669E-01,1.776608E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.572539E+00,1.793876E+04,2.389232E+04,6.758934E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.490617E+00,1.702402E+04,2.326871E+04,7.656366E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.933800E+00,2.199276E+04,2.883402E+04,7.782215E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
04:40:00,2.466931E-01,0.000000E+00,2.656065E+00,3.036959E+04,3.911905E+04,5.797378E-01,1.776775E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.563705E+00,1.783555E+04,2.378473E+04,6.758298E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.480928E+00,1.691126E+04,2.314992E+04,7.655527E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.922986E+00,2.186718E+04,2.870211E+04,7.781638E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
04:50:00,2.466931E-01,0.000000E+00,2.648064E+00,3.027155E+04,3.901851E+04,5.797090E-01,1.776939E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.555070E+00,1.773455E+04,2.367946E+04,6.757673E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.471455E+00,1.680091E+04,2.303366E+04,7.654700E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.912470E+00,2.174493E+04,2.857372E+04,7.781071E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
05:00:00,2.466931E-01,0.000000E+00,2.640225E+00,3.017533E+04,3.891985E+04,5.796807E-01,1.777101E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.546633E+00,1.763577E+04,2.357655E+04,6.757056E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.462195E+00,1.669294E+04,2.291997E+04,7.653886E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,1.902252E+00,2.162600E+04,2.844891E+04,7.780514E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
